PAYER_NAME,encounters,unique_patients,average_claim_cost,median_claim_cost,total_claim_cost,average_payer_coverage,median_payer_coverage,zero_coverage_pct
Medicaid,1443,113,6205.219002079002,1005.38,8954131.02,5833.661621621622,898.11,0.3465003465003465
NO_INSURANCE,8807,262,5593.1974747360055,920.81,49259290.16,0.0,0.0,100.0
Anthem,704,204,4236.811150568182,278.58,2982715.05,0.0,0.0,100.0
Humana,1084,219,3269.300147601476,278.58,3543921.36,1.8024538745387453,0.0,95.75645756457564
Blue Cross Blue Shield,925,216,3245.5848756756754,278.58,3002166.01,2242.698745945946,50.69,36.32432432432432
Cigna Health,809,203,2996.9505067985165,278.58,2424532.96,1.1969715698393077,0.0,97.6514215080346
UnitedHealthcare,900,206,2848.3422,278.58,2563507.98,4.3748,0.0,91.11111111111111
Aetna,936,207,2767.0471153846156,278.58,2589956.1,1.9018803418803418,0.0,95.94017094017094
Medicare,11371,449,2167.5515689033505,234.72,24647228.89,1689.8857945651218,155.77,0.5364523788584997
Dual Eligible,912,62,1696.190778508772,142.58,1546925.99,1513.9318750000002,40.45,13.925438596491228
