DESCRIPTION,procedure_count,average_base_cost,median_base_cost,total_base_cost
Admission to burn unit,1,431.0,431.0,431
Admission to long stay hospital,1,431.0,431.0,431
Admission to orthopedic department,42,431.0,431.0,18102
Admission to trauma surgery department,3,431.0,431.0,1293
Admit to ICU (procedure),5,206260.4,199610.0,1031302
Allergy screening test,1,431.0,431.0,431
Alpha-fetoprotein test,116,2087.905172413793,2112.0,242197
Ankle X-ray,29,431.0,431.0,12499
Antenatal RhD antibody screening,14,1854.2857142857142,1752.5,25960
Appendectomy,2,17091.0,17091.0,34182
Assessment of anxiety (procedure),2288,431.0,431.0,986128
Assessment of health and social care needs (procedure),4596,431.0,431.0,1980876
Assessment of substance use (procedure),2906,431.0,431.0,1252486
Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),1422,431.0,431.0,612882
Assessment using Morse Fall Scale (procedure),2422,431.0,431.0,1043882
Assessment using New York Heart Association Classification (procedure),20,431.0,431.0,8620
Augmentation of labor,11,3860.7272727272725,3564.0,42468
Auscultation of the fetal heart,1065,5312.508920187794,5157.0,5657822
Bilateral tubal ligation,12,8330.333333333334,7680.0,99964
Biopsy of breast (procedure),7,3905.714285714286,3647.0,27340
Biopsy of colon,2,10986.0,10986.0,21972
Biopsy of prostate,22,2824.7727272727275,2859.0,62145
Blood typing  RH typing,118,2029.9915254237287,2015.5,239539
Bone density scan (procedure),198,9602.863636363636,9491.0,1901367
Bone immobilization,118,431.0,431.0,50858
Brief general examination (procedure),53,135.11320754716982,136.0,7161
Cardiovascular stress testing (procedure),4,431.0,431.0,1724
Catheter ablation of tissue of heart,365,9331.504109589041,9117.0,3405999
Cesarean section,8,7906.5,7610.5,63252
Chemotherapy (procedure),40,431.0,431.0,17240
Chest X-ray,12,8298.0,8400.5,99576
Childbirth,115,431.0,431.0,49565
Chlamydia antigen test,118,2050.0254237288136,2053.5,241903
Clavicle X-ray,28,431.0,431.0,12068
Cognitive and behavioral therapy (regime/therapy),136,10388.08088235294,10142.0,1412779
Colonoscopy,424,11841.98820754717,11465.5,5021003
Combined chemotherapy and radiation therapy (procedure),444,11796.387387387387,11441.5,5237596
Computed tomography of chest and abdomen,5,10061.2,10036.0,50306
Controlled ventilation procedure and therapy  initiation and management (procedure),46,431.0,431.0,19826
Coronary artery bypass grafting,9,47085.88888888889,43374.0,423773
Counseling for termination of pregnancy,32,431.0,431.0,13792
Cytopathology procedure  preparation of smear  genital source,118,1977.957627118644,1987.0,233399
Cytopathology procedure  preparation of smear  genital source (procedure),140,2022.3428571428572,2038.0,283128
Depression screening,190,431.0,431.0,81890
Depression screening (procedure),3614,431.0,431.0,1557634
Depression screening using Patient Health Questionnaire Nine Item score (procedure),206,30.262135922330096,30.0,6234
Depression screening using Patient Health Questionnaire Two-Item score (procedure),3614,431.0,431.0,1557634
Diagnostic fiberoptic bronchoscopy (procedure),3,7553.0,6541.0,22659
Digital examination of rectum,107,994.2616822429907,955.0,106386
Echocardiography (procedure),179,956.1787709497206,923.0,171156
Electrical cardioversion,1383,25903.110629067247,25066.0,35824002
Electrocardiographic procedure,53,1369.3584905660377,1326.0,72576
Epidural anesthesia,26,1961.3846153846155,1918.0,50996
Episiotomy,36,5535.111111111111,5386.5,199264
Evaluation of uterine fundal height,1065,5287.58779342723,5149.0,5631281
Excision of breast tissue (procedure),2,3621.5,3621.5,7243
Excision of sentinel lymph node (procedure),4,11277.0,11102.5,45108
Extraction of wisdom tooth,4,11207.5,10968.5,44830
Face mask (physical object),55,2.3454545454545452,2.0,129
Fetal anatomy study,116,431.0,431.0,49996
Fine needle aspiration biopsy of lung (procedure),1,23141.0,23141.0,23141
Gonorrhea infection test,118,2005.6610169491526,1963.5,236668
Hearing examination (procedure),144,431.0,431.0,62064
Heart failure education (procedure),28,431.0,431.0,12068
Hemodialysis (procedure),27,29299.555555555555,28314.0,791088
Hemoglobin / Hematocrit / Platelet count,237,2028.1054852320676,1954.0,480661
Hepatitis B Surface Antigen Measurement,118,2006.8050847457628,1978.5,236803
Hepatitis C antibody test,118,2023.3305084745762,1967.5,238753
High resolution computed tomography of chest without contrast (procedure),144,431.0,431.0,62064
Hospice care (regime/therapy),4098,431.0,431.0,1766238
Human epidermal growth factor receptor 2 gene detection by fluorescence in situ hybridization (procedure),7,1767.5714285714287,1806.0,12373
Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure),7,211.57142857142858,200.0,1481
Human immunodeficiency virus antigen test,118,1985.5338983050847,1954.0,234293
Induced termination of pregnancy,32,9641.0,8906.0,308512
Information gathering (procedure),16,64.6875,65.0,1035
Injection of tetanus antitoxin,21,2549.0,2520.0,53529
Insertion of biventricular implantable cardioverter defibrillator,4,27201.0,25503.0,108804
Insertion of endotracheal tube (procedure),7,279.14285714285717,293.0,1954
Insertion of intrauterine contraceptive device,66,8999.227272727272,8569.5,593949
Insertion of subcutaneous contraceptive,62,8844.0,8288.0,548328
Instrumental delivery,12,7024.333333333333,7056.0,84292
Intramuscular injection,522,2539.5287356321837,2460.5,1325634
Intravenous blood transfusion of packed cells (procedure),3,2280.3333333333335,2372.0,6841
Intubation,2,422.0,422.0,844
Knee X-ray,17,431.0,431.0,7327
Laparoscopic Removal of Gall Bladder,2,11670.5,11670.5,23341
Lumpectomy of breast (procedure),5,29353.0,29349.0,146765
Magnetic resonance imaging for measurement of brain volume (procedure),6,7393.833333333333,7739.5,44363
Magnetic resonance imaging of breast (procedure),3,1319.3333333333333,1616.0,3958
Mammogram - symptomatic (procedure),2,110.0,110.0,220
Mammography (procedure),194,116.58762886597938,112.5,22618
Manual pelvic examination (procedure),140,140.55,136.5,19677
Measurement of Varicella-zoster virus antibody,118,1937.0677966101696,1857.5,228574
