year_quarter,unique_patients,inpatient_encounters
2011Q1,10,21
2011Q2,8,18
2011Q3,12,24
2011Q4,8,20
2012Q1,10,20
2012Q2,11,21
2012Q3,10,22
2012Q4,16,30
2013Q1,12,22
2013Q2,12,21
2013Q3,12,20
2013Q4,19,71
2014Q1,13,22
2014Q2,15,28
2014Q3,16,27
2014Q4,20,41
2015Q1,16,31
2015Q2,12,25
2015Q3,12,23
2015Q4,15,32
2016Q1,8,19
2016Q2,13,21
2016Q3,10,20
2016Q4,15,64
2017Q1,10,19
2017Q2,14,26
2017Q3,15,24
2017Q4,11,57
2018Q1,8,15
2018Q2,11,17
2018Q3,14,27
2018Q4,11,22
2019Q1,9,41
2019Q2,10,31
2019Q3,11,53
2019Q4,5,9
2020Q1,7,10
2020Q2,9,11
2020Q3,15,24
2020Q4,19,27
2021Q1,12,17
2021Q2,9,10
2021Q3,8,15
2021Q4,10,13
2022Q1,3,4
